;Time;Thrust;Pressure1;Pressure2;Weight;Current;Voltage;Battery12V;Battery24V
0;0.0;-645;-323;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.098376537369915;3.5431081270790736
1;0.01;3228;-323;-323;-645;0.0;0.0;2.103439191869869;3.5447956785790584
2;0.03;28725;-1291;-1291;-445;-0.00018750572222052677;-0.00018750572222052677;2.104001709036531;3.5438581499679556
3;0.04;-645;-323;-323;-18330;-0.00037501144444105353;-0.00018750572222052677;2.1032516861476487;3.544233161412397
4;0.06;-645;-323;-323;-645;-0.00018750572222052677;0.0;2.1010016174810024;3.5451706900234994
5;0.07;28725;-1291;-1291;12559;0.0;0.0;2.0996890774254586;3.542920621356853
6;0.08;-645;-323;-323;-445;-0.00018750572222052677;-0.00018750572222052677;2.0968764915921505;3.543295632801294
7;0.1;-645;-323;-323;-645;-0.00037501144444105353;0.0;2.1023141575365463;3.542920621356853
8;0.11;28725;-1291;-1130;-645;-0.00018750572222052677;-0.00018750572222052677;2.0996890774254586;3.5438581499679556
9;0.12;-645;-323;-807;-445;-0.00018750572222052677;-0.00037501144444105353;2.103064180425428;3.5438581499679556
10;0.14;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1010016174810024;3.5438581499679556
11;0.15;28402;-1291;-807;-645;-0.00018750572222052677;0.0;2.099876583147679;3.5434831385235146
12;0.16;-645;-323;-1452;-445;-0.00037501144444105353;-0.00018750572222052677;2.100814111758782;3.5434831385235146
13;0.18;-645;-323;-323;-645;-0.00018750572222052677;0.0;2.1025016632587668;3.542545609912412
14;0.19;27757;-1291;-323;-645;-0.00018750572222052677;-0.00037501144444105353;2.1023141575365463;3.543295632801294
15;0.21;-645;-1291;-1291;-445;-0.00018750572222052677;0.0;2.0993140659810177;3.5438581499679556
16;0.22;-645;-323;-323;-645;-0.00037501144444105353;-0.00037501144444105353;2.099126560258797;3.542920621356853
17;0.23;20817;-323;-323;-645;-0.00018750572222052677;0.0;2.103439191869869;3.5399205298013245
18;0.25;484;-1291;-1291;-445;-0.00037501144444105353;-0.00018750572222052677;2.1000640888698996;3.54179558702353
19;0.26;-645;-323;-323;-645;-0.00018750572222052677;0.0;2.1006266060365615;3.5438581499679556
20;0.27;15397;-323;-323;-645;-0.00037501144444105353;0.0;2.100814111758782;3.540108035523545
21;0.29;11135;-1291;-1291;-445;-0.00018750572222052677;-0.00018750572222052677;2.1000640888698996;3.5434831385235146
22;0.3;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1028766747032077;3.5427331156346327
23;0.31;8553;-323;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.10025159459212;3.5406705526902065
24;0.33;13717;-1291;-1291;-445;-0.00018750572222052677;-0.00018750572222052677;2.101939146092105;3.5440456556901765
25;0.34;-645;-323;-323;-645;0.0;0.0;2.1038142033143106;3.542545609912412
26;0.35;3066;-323;-323;-645;-0.00037501144444105353;-0.00037501144444105353;2.0996890774254586;3.54179558702353
27;0.37;23238;-1291;-1291;-445;-0.00018750572222052677;-0.00018750572222052677;2.1013766289254434;3.5438581499679556
28;0.38;-645;-323;-323;-645;-0.00018750572222052677;0.0;2.1038142033143106;3.5427331156346327
29;0.39;-645;-323;-323;-645;0.0;0.0;2.1036266975920896;3.539733024079104
30;0.41;27757;-1291;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.101189123203223;3.5421705984679708
31;0.42;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1017516403698844;3.543295632801294
32;0.44;-645;-323;-323;-645;-0.00018750572222052677;0.0;2.1013766289254434;3.5440456556901765
33;0.45;28725;-1291;-1291;4235;0.0;-0.00018750572222052677;2.101939146092105;3.544233161412397
34;0.46;-645;-323;-323;-18814;-0.00018750572222052677;-0.00037501144444105353;2.1000640888698996;3.5434831385235146
35;0.48;-645;-323;-323;-645;-0.00018750572222052677;0.0;2.1028766747032077;3.5451706900234994
36;0.49;28725;-1291;-1291;15626;-0.00018750572222052677;-0.00037501144444105353;2.1028766747032077;3.5438581499679556
37;0.5;-645;-323;-1291;-445;-0.00018750572222052677;-0.00018750572222052677;2.1006266060365615;3.5434831385235146
38;0.52;-645;-323;-323;-645;-0.00037501144444105353;0.0;2.1006266060365615;3.5412330698568684
39;0.53;26950;-1291;-323;-645;-0.00018750572222052677;-0.00037501144444105353;2.1028766747032077;3.5440456556901765
40;0.55;-645;-1291;-1291;-445;-0.00018750572222052677;0.0;2.098001525925474;3.5427331156346327
41;0.56;-645;-323;-807;-445;-0.00018750572222052677;-0.00018750572222052677;2.099876583147679;3.540108035523545
42;0.58;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1028766747032077;3.5447956785790584
43;0.6;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.094438917203284;3.5438581499679556
44;0.61;18397;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.098376537369915;3.5406705526902065
45;0.63;28725;-1291;-645;-645;-0.00037501144444105353;-0.00018750572222052677;2.1026891689809872;3.5427331156346327
46;0.65;-645;-1291;-1291;-445;-0.00037501144444105353;0.0;2.101564134647664;3.5506083559678947
47;0.66;-645;-323;-807;-445;0.0;-0.00037501144444105353;2.0993140659810177;3.5481707815790275
48;0.68;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.103439191869869;3.5447956785790584
49;0.7;-645;-323;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.0955639515366067;3.5485457930234685
50;0.71;25820;-807;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.104939237647633;3.5423581041901913
51;0.73;28725;-1291;-1291;7234;-0.00018750572222052677;-0.00018750572222052677;2.0957514572588276;3.5416080813013093
52;0.74;-645;-323;-1291;-445;0.0;-0.00018750572222052677;2.1041892147587515;3.544983184301279
