;Time;Thrust;Pressure1;Pressure2;Weight;Current;Voltage;Battery12V;Battery24V
0;0.0;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1150645466475417;3.6083601184118166
1;0.01;12103;-1291;-1291;14563;-0.00018750572222052677;0.0;2.11431452375866;3.6089226355784785
2;0.03;-645;-323;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.1115019379253517;3.609110141300699
3;0.04;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1175021210364084;3.608547624134037
4;0.06;28725;-1291;-1130;-645;-0.00018750572222052677;-0.00018750572222052677;2.115439558091983;3.6100476699118014
5;0.07;-645;-323;-323;-25915;-0.00018750572222052677;-0.00018750572222052677;2.1120644550920136;3.604047486800745
6;0.08;-645;-323;-323;-645;0.0;-0.00018750572222052677;2.1167520981475265;3.6064850611896113
7;0.1;28725;-1291;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1146895352031008;3.6076100955229347
8;0.11;-645;-323;-807;-445;-0.00018750572222052677;0.0;2.1141270180364393;3.60948515274514
9;0.12;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1150645466475417;3.607422589800714
10;0.14;26788;-807;-323;-645;-0.00037501144444105353;0.0;2.1128144779808955;3.6072350840784937
11;0.15;-645;-323;-1291;-445;-0.00018750572222052677;-0.00018750572222052677;2.1156270638142036;3.607797601245155
12;0.17;-645;-323;-323;-645;-0.00018750572222052677;-0.00037501144444105353;2.1128144779808955;3.610235175634022
13;0.18;24852;-323;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.1178771324808494;3.607422589800714
14;0.19;-645;-807;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.1167520981475265;3.607422589800714
15;0.21;-645;-323;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.1152520523697627;3.6100476699118014
16;0.22;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1160020752586446;3.6089226355784785
17;0.23;20656;-1291;-1291;12882;-0.00018750572222052677;-0.00018750572222052677;2.1145020294808803;3.60948515274514
18;0.25;-645;-323;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.1152520523697627;3.608735129856258
19;0.26;-645;-323;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.1163770867030856;3.6092976470229194
20;0.28;28725;-1291;-1291;-645;-0.00018750572222052677;-0.00018750572222052677;2.115814569536424;3.6092976470229194
21;0.29;-645;-323;-323;-5003;-0.00018750572222052677;-0.00018750572222052677;2.1160020752586446;3.611360209967345
