;Czas;Waga
0;6.103515625e-05;66.17443306325467
1;0.10327482223510742;66.2015467315993
2;0.20632529258728027;59.2333339670284
3;0.3091263771057129;52.98363341359031
4;0.4122440814971924;52.97685499650415
5;0.5157387256622314;52.974595524142096
6;0.6185493469238281;52.97685499650415
7;0.7217440605163574;66.19476831451314
8;0.8250339031219482;66.2060656763234
9;0.9282009601593018;52.988152358314416
10;1.031435251235962;52.981373941228256
11;1.1347196102142334;52.97233605178005
12;1.2375884056091309;52.97685499650415
13;1.340951681137085;66.18798989742697
14;1.4441616535186768;66.20832514868546
15;1.5474107265472412;52.988152358314416
16;1.6506330966949463;52.98363341359031
17;1.753952980041504;52.97911446886621
18;1.8571207523345947;52.97685499650415
19;1.9602904319763184;66.18573042506493
20;2.063443899154663;66.2060656763234
21;2.1666712760925293;52.99041183067647
22;2.270585298538208;52.97911446886621
23;2.373352289199829;52.97685499650415
24;2.4763572216033936;52.97685499650415
25;2.5793259143829346;66.17895200797876
26;2.6823437213897705;66.20380620396135
27;2.785475730895996;58.282096102604164
28;2.888425350189209;52.98363341359031
29;2.9915153980255127;52.97685499650415
30;3.0948050022125244;52.97685499650415
31;3.1980674266815186;58.62327642927414
32;3.300976514816284;66.19476831451314
33;3.404226541519165;66.20832514868546
34;3.507382869720459;52.988152358314416
35;3.610539436340332;52.97911446886621
36;3.713719367980957;52.981373941228256
37;3.817011594772339;52.97685499650415
38;3.920276165008545;66.19024936978903
39;4.0235207080841064;66.2060656763234
40;4.126738548278809;52.98363341359031
