;Time;Thrust;Pressure1;Pressure2;Weight;Current;Voltage;Battery12V;Battery24V
0;0.0;27595;-645;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1041892147587515;3.5821093173009433
1;0.02;-645;-1291;-1291;-445;-0.00037501144444105353;-0.00018750572222052677;2.1017516403698844;3.585671926023133
2;0.03;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1004391003143406;3.585671926023133
3;0.04;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1025016632587668;3.588484511856441
4;0.06;13556;-1291;-1291;14563;-0.00018750572222052677;-0.00018750572222052677;2.103439191869869;3.588859523300882
5;0.07;-645;-323;-323;-645;-0.00018750572222052677;0.0;2.101189123203223;3.5867969603564562
6;0.08;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1010016174810024;3.589234534745323
7;0.1;28725;-1291;-1291;-645;-0.00018750572222052677;-0.00018750572222052677;2.103064180425428;3.5800467543565175
8;0.11;-645;-323;-323;9844;-0.00018750572222052677;-0.00018750572222052677;2.101564134647664;3.5864219489120153
9;0.13;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1025016632587668;3.588109500412
10;0.14;28725;-1291;-968;-645;-0.00018750572222052677;-0.00018750572222052677;2.1013766289254434;3.5882970061342205
11;0.15;-645;-323;-323;-23010;-0.00037501144444105353;0.0;2.105314249092074;3.5860469374675743
12;0.17;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1056892605365154;3.591297097689749
13;0.18;28725;-1291;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.105314249092074;3.5931721549119544
14;0.2;-645;-968;-1291;-445;-0.00018750572222052677;-0.00018750572222052677;2.101939146092105;3.5899845576342053
15;0.21;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.0987515488143558;3.5905470748008668
16;0.23;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1073768120365;3.592422132023072
17;0.24;-645;-323;-323;-645;-0.00018750572222052677;0.0;2.105501754814295;3.5882970061342205
18;0.26;28725;-1291;-1291;-645;-0.00018750572222052677;-0.00018750572222052677;2.1045642262031925;3.589797051911985
19;0.27;-645;-323;-807;-445;-0.00018750572222052677;-0.00018750572222052677;2.0972515030365915;3.5830468459120457
20;0.29;-645;-323;-323;-645;0.0;-0.00037501144444105353;2.0981890316476943;3.5804217658009585
21;0.3;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.0981890316476943;3.5787342143009737
22;0.32;27111;-645;-323;-645;0.0;-0.00018750572222052677;2.1047517319254125;3.582859340189825
23;0.34;-645;-1291;-1291;12398;-0.00018750572222052677;0.00018750572222052677;2.1026891689809872;3.5787342143009737
24;0.35;-645;-323;-323;-445;-0.00018750572222052677;-0.00018750572222052677;2.0989390545365767;3.5800467543565175
25;0.37;-645;-323;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.1004391003143406;3.585296914578692
26;0.38;-645;-323;-323;-645;-0.00018750572222052677;0.0;2.101939146092105;3.5796717429120766
27;0.4;25659;-323;-323;-645;-0.00037501144444105353;0.0;2.1026891689809872;3.5781716971343123
28;0.42;14362;-1291;-1291;-645;-0.00018750572222052677;-0.00018750572222052677;2.103439191869869;3.583984374523148
29;0.43;-645;-323;-1291;-445;0.0;-0.00037501144444105353;2.1000640888698996;3.5922346263008516
30;0.45;-645;-323;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.099501571703238;3.5864219489120153
31;0.47;-645;-323;-323;-645;0.0;-0.00018750572222052677;2.0985640430921353;3.5866094546342357
32;0.48;22270;-323;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.1025016632587668;3.5948597064119387
33;0.5;28725;-1291;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.0993140659810177;3.584359385967589
34;0.52;-645;-807;-1291;-445;-0.00018750572222052677;-0.00018750572222052677;2.093501388592181;3.584359385967589
35;0.53;-645;-323;-323;-9454;-0.00018750572222052677;0.0;2.101189123203223;3.590922086245308
36;0.55;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.101939146092105;3.589234534745323
37;0.56;-645;-323;-323;-645;-0.00018750572222052677;0.0;2.1064392834253973;3.5941096835230564
38;0.58;27757;-807;-323;-645;-0.00037501144444105353;0.0;2.097626514481033;3.589797051911985
39;0.6;1130;-1291;-1291;1586;-0.00018750572222052677;-0.00037501144444105353;2.099501571703238;3.5807967772453995
40;0.61;-645;-323;-807;-445;-0.00018750572222052677;-0.00018750572222052677;2.1083143406476026;3.5867969603564562
41;0.63;-645;-323;-323;-645;-0.00037501144444105353;0.0;2.100814111758782;3.5813592944120614
42;0.64;-645;-323;-323;-645;0.0;-0.00018750572222052677;2.100814111758782;3.583984374523148
43;0.66;25336;-323;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.1004391003143406;3.5890470290231025
44;0.68;18720;-1291;-1291;-645;-0.00037501144444105353;-0.00018750572222052677;2.1010016174810024;3.583609363078707
45;0.69;-645;-323;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.0950014343699452;3.589422040467544
46;0.71;-645;-323;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.095938962981048;3.587734488967559
47;0.73;-645;-323;-323;-645;-0.00037501144444105353;0.0;2.104001709036531;3.5866094546342357
48;0.74;25013;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.0965014801477095;3.5841718802453686
49;0.76;28725;-1291;-968;-645;-0.00018750572222052677;-0.00018750572222052677;2.104376720480972;3.5890470290231025
50;0.77;-645;-323;-1291;-445;-0.00018750572222052677;-0.00018750572222052677;2.0942514114810633;3.585671926023133
51;0.79;-645;-323;-323;-645;-0.00018750572222052677;0.0;2.0981890316476943;3.584921903134251
52;0.81;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.095376445814386;3.582859340189825
53;0.82;-807;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.101189123203223;3.593359660634175
54;0.84;28725;-1291;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.0987515488143558;3.590172063356426
