;Time;Thrust;Pressure1;Pressure2;Weight;Current;Voltage;Battery12V;Battery24V
0;0.0;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1193771782586137;3.6151103244117557
1;0.01;28725;-1291;-645;-645;-0.00037501144444105353;-0.00018750572222052677;2.118627155369732;3.6151103244117557
2;0.03;-645;-323;-323;-445;-0.00018750572222052677;-0.00018750572222052677;2.1203147068697166;3.612297738578448
3;0.04;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1167520981475265;3.6141727958006533
4;0.06;28402;-1291;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.11806463820307;3.617172887356182
5;0.07;-645;-323;-968;-445;-0.00018750572222052677;0.0;2.1178771324808494;3.6137977843562124
6;0.08;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.115814569536424;3.615860347300638
7;0.1;25497;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1199396954252756;3.616797875911741
8;0.11;-645;-323;-1452;-445;0.0;0.0;2.1191896725363932;3.6151103244117557
9;0.12;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.120502212591937;3.6152978301339767
10;0.14;11296;-323;-323;-645;-0.00018750572222052677;0.0;2.1188146610919523;3.616797875911741
11;0.15;-645;-1452;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.1216272469252604;3.6124852443006685
12;0.16;-645;-323;-323;-645;-0.00037501144444105353;-0.00037501144444105353;2.1182521439252904;3.6160478530228586
13;0.18;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.121252235480819;3.615485335856197
14;0.19;2743;-1291;-1452;2137;-0.00018750572222052677;0.0;2.119564683980834;3.611735221411786
15;0.21;-645;-323;-323;-8419;-0.00037501144444105353;-0.00018750572222052677;2.121252235480819;3.6152978301339767
16;0.22;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1197521897030547;3.616235358745079
17;0.23;28725;-1291;-968;-645;-0.00037501144444105353;-0.00018750572222052677;2.1206897183141575;3.6151103244117557
18;0.25;-645;-323;-323;-23494;0.0;-0.00018750572222052677;2.1184396496475113;3.613422772911771
19;0.26;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.120127201147496;3.6152978301339767
20;0.27;28725;-1452;-645;-645;-0.00018750572222052677;-0.00018750572222052677;2.117689626758629;3.616235358745079
21;0.29;-645;-323;-323;-445;-0.00018750572222052677;-0.00018750572222052677;2.1188146610919523;3.6128602557451095
22;0.3;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1188146610919523;3.616235358745079
23;0.31;28725;-1291;-323;-645;-0.00018750572222052677;0.0;2.120877224036378;3.6147353129673148
24;0.33;-645;-323;-323;-445;-0.00018750572222052677;0.0;2.1167520981475265;3.6156728415784176
25;0.34;-645;-323;-323;-645;0.0;-0.00018750572222052677;2.1182521439252904;3.6152978301339767
26;0.35;27272;-1130;-323;-645;0.0;-0.00018750572222052677;2.1175021210364084;3.6160478530228586
27;0.37;-645;-323;-807;-445;-0.00018750572222052677;-0.00018750572222052677;2.118627155369732;3.6149228186895352
28;0.38;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1182521439252904;3.6141727958006533
29;0.4;25659;-645;-323;-645;0.0;-0.00018750572222052677;2.118627155369732;3.61304776146733
30;0.41;-645;-323;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.118627155369732;3.615485335856197
31;0.42;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1199396954252756;3.6145478072450943
32;0.44;24690;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.123314798425245;3.6124852443006685
33;0.45;-645;-323;-1452;-445;-0.00018750572222052677;0.0;2.1182521439252904;3.616797875911741
34;0.46;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.117689626758629;3.615860347300638
35;0.48;24368;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1188146610919523;3.6115477156895657
36;0.49;-645;-323;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.119564683980834;3.609860164189581
37;0.5;-645;-323;-323;-645;-0.00037501144444105353;-0.00037501144444105353;2.117689626758629;3.6145478072450943
38;0.52;-95;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.11806463820307;3.613985290078433
39;0.53;-645;-1291;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.1165645924253056;3.6149228186895352
40;0.54;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1188146610919523;3.6147353129673148
41;0.56;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.117314615314188;3.6137977843562124
42;0.57;5648;-1291;-1452;15047;-0.00018750572222052677;-0.00018750572222052677;2.1156270638142036;3.6137977843562124
43;0.59;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.120127201147496;3.6137977843562124
44;0.6;-645;-323;-323;-645;-0.00037501144444105353;-0.00037501144444105353;2.116939603869747;3.6132352671895505
45;0.61;26143;-1291;-1452;4168;-0.00018750572222052677;-0.00018750572222052677;2.1193771782586137;3.6149228186895352
