;Czas;Waga
0;2.4318695068359375e-05;66.26029301301267
1;0.10205245018005371;66.27384984718499
2;0.20403838157653809;64.66284605304132
3;0.3060910701751709;53.001709192486736
4;0.4080512523651123;52.99267130303852
5;0.5100090503692627;52.99041183067647
6;0.6119377613067627;52.98589288595236
7;0.7139072418212891;52.988152358314416
8;0.8158488273620605;52.988152358314416
9;0.9178361892700195;52.988152358314416
10;1.019775629043579;60.866932484792585
11;1.1217494010925293;66.26707143009882
12;1.223714828491211;66.2828877366332
13;1.325744867324829;53.010747081934944
14;1.427666187286377;52.994930775400576
15;1.5295782089233398;52.994930775400576
16;1.6315078735351562;52.988152358314416
17;1.7334942817687988;52.98363341359031
18;1.8354153633117676;52.988152358314416
19;1.9373509883880615;52.988152358314416
20;2.0392847061157227;52.98589288595236
21;2.1412127017974854;66.25803354065062
22;2.2431387901306152;66.27384984718499
23;2.345090627670288;66.28514720899526
24;2.447016716003418;53.003968664848784
25;2.548985242843628;52.994930775400576
26;2.650912046432495;52.988152358314416
27;2.752838611602783;52.98363341359031
28;2.8547613620758057;52.988152358314416
29;2.9567832946777344;52.988152358314416
30;3.0586934089660645;52.98363341359031
31;3.1606502532958984;55.50972351436536
32;3.262594223022461;66.26481195773677
33;3.3645219802856445;66.27836879190909
34;3.466456651687622;59.32597233387256
35;3.5684382915496826;52.99944972012468
