;Time;Thrust;Pressure1;Pressure2;Weight;Current;Voltage;Battery12V;Battery24V
0;0.0;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1006266060365615;3.549670827356792
1;0.02;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1006266060365615;3.551170873134556
2;0.03;28402;-1452;-1452;1007;0.0;-0.00018750572222052677;2.101939146092105;3.5502333445234533
3;0.04;-645;-323;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.1013766289254434;3.550795861690115
4;0.06;-645;-323;-323;-645;-0.00037501144444105353;-0.00037501144444105353;2.1021266518143253;3.5504208502456738
5;0.07;26304;-1452;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.0989390545365767;3.550795861690115
6;0.09;-645;-484;-1452;-445;-0.00018750572222052677;-0.00037501144444105353;2.103064180425428;3.5517333903012176
7;0.1;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1032516861476487;3.5509833674123357
8;0.11;24368;-1291;-323;-645;-0.00037501144444105353;-0.00037501144444105353;2.099876583147679;3.5509833674123357
9;0.13;-645;-968;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.0972515030365915;3.552858424634541
10;0.14;-645;-323;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.101564134647664;3.5513583788567766
11;0.15;23561;-323;-323;-645;0.0;-0.00018750572222052677;2.0989390545365767;3.549670827356792
12;0.17;-645;-1452;-1452;-445;-0.00037501144444105353;-0.00018750572222052677;2.1023141575365463;3.551170873134556
13;0.18;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1032516861476487;3.549670827356792
14;0.2;-968;-323;-323;-645;-0.00018750572222052677;0.0;2.101939146092105;3.551170873134556
15;0.21;28241;-1452;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.099876583147679;3.5513583788567766
16;0.22;-645;-323;-323;-445;-0.00018750572222052677;-0.00018750572222052677;2.101189123203223;3.5506083559678947
17;0.24;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1038142033143106;3.552108401745659
18;0.25;28402;-1452;-1291;-645;-0.00018750572222052677;-0.00018750572222052677;2.0993140659810177;3.550045838801233
19;0.26;-645;-323;-807;-445;-0.00018750572222052677;-0.00018750572222052677;2.1032516861476487;3.553795953245644
20;0.28;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.1017516403698844;3.5513583788567766
21;0.29;26143;-1452;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.1025016632587668;3.5522959074678795
22;0.31;-645;-484;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.103439191869869;3.552108401745659
23;0.32;-645;-323;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.10025159459212;3.5524834131901
24;0.33;23722;-323;-323;-645;-0.00018750572222052677;-0.00037501144444105353;2.1045642262031925;3.5543584704123052
25;0.35;5648;-1452;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.1025016632587668;3.549295815912351
26;0.36;-645;-323;-323;-32692;-0.00018750572222052677;0.0;2.1013766289254434;3.5522959074678795
27;0.38;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.104001709036531;3.551545884578997
28;0.39;26304;-1452;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.0996890774254586;3.5506083559678947
29;0.41;-645;-323;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.101939146092105;3.5530459303567614
30;0.42;-645;-323;-323;-645;-0.00018750572222052677;-0.00018750572222052677;2.105314249092074;3.5554835047456286
31;0.43;25175;-1452;-323;-645;-0.00018750572222052677;0.0;2.1073768120365;3.5541709646900848
32;0.45;-645;-484;-1452;-445;-0.00018750572222052677;-0.00037501144444105353;2.105876766258736;3.5554835047456286
33;0.46;-645;-323;-323;-645;-0.00018750572222052677;0.0;2.099126560258797;3.5541709646900848
34;0.47;23722;-484;-323;-645;-0.00037501144444105353;-0.00018750572222052677;2.1017516403698844;3.550795861690115
