;Wartoscmierzona;PomiarV;PomiarInt
0;0;-0.052689107943968014;-285
1;0;-0.05306411938840907;-322
2;0;-0.053439130832850124;-289
3;0;-0.05306411938840907;-281
4;0;-0.05250160222174749;-288
5;0;-0.06431446272164067;-286
6;0;-0.05325162511062959;-282
7;0;-0.05250160222174749;-286
8;0;-0.0540016479995117;-343
9;0;-0.05306411938840907;-287
10;0;-0.0540016479995117;-282
11;0;-0.05381414227729118;-284
12;0;-0.05456416516617328;-364
13;0;-0.052876613666188545;-284
14;0;-0.052876613666188545;-280
15;0;-0.053439130832850124;-283
16;0;-0.0540016479995117;-362
17;0;-0.05418915372173223;-285
18;0;-0.05437665944395276;-281
19;0;-0.052126590777306435;-286
20;4.5;0.29250892666402173;1560
21;4.5;0.29344645527512436;1565
22;4.5;0.2930714438306833;1559
23;4.5;0.2439449446089053;1254
24;4.5;0.29250892666402173;1562
25;4.5;0.29269643238624227;1566
26;4.5;0.29232142094180125;1557
27;4.5;0.20794384594256415;1561
28;4.5;0.2928839381084628;1561
29;4.5;0.2932589495529038;1564
30;4.5;0.2932589495529038;1556
31;4.5;0.20775634022034364;1417
32;4.5;0.29269643238624227;1563
33;4.5;0.29232142094180125;1568
34;4.5;0.29382146671956544;1566
35;4.5;0.2928839381084628;1107
36;4.5;0.29419647816400646;1568
37;4.5;0.2928839381084628;1569
38;4.5;0.29382146671956544;1567
39;4.5;0.29344645527512436;1564
40;5.794;0.43220068971831416;2305
41;5.794;0.3787615588854641;2306
42;5.794;0.43220068971831416;2305
43;5.794;0.4318256782738731;2311
44;5.794;0.4329507126071963;2304
45;5.794;0.37913657032990505;2301
46;5.794;0.43276320688497577;2310
47;5.794;0.43276320688497577;2312
48;5.794;0.43276320688497577;2306
49;5.794;0.32025977355265967;2309
50;5.794;0.4320131839960936;2308
51;5.794;0.43370073549607835;2312
52;5.794;0.4323881954405347;2305
53;5.794;0.3200722678304392;2309
54;5.794;0.43276320688497577;2310
55;5.794;0.43370073549607835;2312
56;5.794;0.43276320688497577;2308
57;5.794;0.3204472792748802;2306
58;5.794;0.43276320688497577;2309
59;5.794;0.43276320688497577;2303
