;Wartoscmierzona;PomiarV;PomiarInt
0;0;-0.06900210577715385;-368
1;0;-0.0686270943327128;-358
2;0;-0.0686270943327128;-366
3;0;-0.06975212866603596;-403
4;0;-0.06843958861049226;-371
5;0;-0.06881460005493331;-358
6;0;-0.06900210577715385;-368
7;0;-0.07031464583269753;-411
8;0;-0.06918961149937437;-369
9;0;-0.0680645771660512;-359
10;0;-0.06712704855494858;-368
11;0;-0.06843958861049226;-373
12;0;-0.07950242622150334;-363
13;0;-0.0693771172215949;-366
14;0;-0.06843958861049226;-361
15;0;-0.06825208288827174;-369
16;0;-0.06431446272164067;-382
17;0;-0.06881460005493331;-362
18;0;-0.0686270943327128;-367
19;0;-0.06787707144383069;-363
20;5.79437;-0.09281533249916074;-744
21;5.79437;-0.1381917172765282;-726
22;5.79437;-0.14475441755424664;-513
23;5.79437;-0.09300283822138126;-510
24;5.79437;-0.08325254066591388;-726
25;5.79437;-0.1351916257209998;-928
26;5.79437;-0.09656544694357128;-493
27;5.79437;-0.0960029297769097;-1246
28;5.79437;-0.1380042115543077;-807
29;5.79437;-0.1815055391094699;-500
30;5.79437;-0.09356535538804285;-512
31;5.79437;-0.09394036683248391;-1614
32;5.79437;-0.1361291543321024;-731
33;5.79437;-0.14569194616534928;-2805
34;5.79437;-0.08512759788811915;-494
35;5.79437;-0.09356535538804285;-494
36;5.79437;-0.14006677449873348;-726
37;5.79437;-0.13650416577654348;-787
38;5.79437;-0.09581542405468918;-507
39;5.79437;-0.08569011505478072;-455
