;Wartoscmierzona;PomiarV;PomiarInt
0;0;-0.052689107943968014;-288
1;0;-0.05306411938840907;-283
2;0;-0.052876613666188545;-290
3;0;-0.0680645771660512;-283
4;0;-0.05306411938840907;-285
5;0;-0.05231409649952696;-285
6;0;-0.05418915372173223;-362
7;0;-0.05362663655507065;-287
8;0;-0.05306411938840907;-281
9;0;-0.05306411938840907;-287
10;0;-0.06750205999938963;-288
11;0;-0.052876613666188545;-282
12;0;-0.05381414227729118;-363
13;0;-0.05325162511062959;-286
14;0;-0.0540016479995117;-286
15;0;-0.05156407361064486;-283
16;0;-0.052126590777306435;-288
17;0;-0.0540016479995117;-362
18;0;-0.052689107943968014;-283
19;0;-0.05362663655507065;-288
20;5.794;0.4404509414960173;2306
21;5.794;0.43276320688497577;1706
22;5.794;0.43257570116275523;2304
23;5.794;0.4376383556627094;2313
24;5.794;0.43276320688497577;2309
25;5.794;0.43145066682943206;2110
26;5.794;0.43257570116275523;2306
27;5.794;0.43257570116275523;2313
28;5.794;0.43351322977385787;2309
29;5.794;0.43220068971831416;1709
30;5.794;0.4372633442182684;2308
31;5.794;0.43220068971831416;2311
32;5.794;0.43351322977385787;2306
33;5.794;0.43257570116275523;1754
34;5.794;0.3551358378856777;2312
35;5.794;0.4323881954405347;2302
36;5.794;0.4331382183294168;2310
37;5.794;0.43276320688497577;2327
38;5.794;0.4318256782738731;1961
39;5.794;0.43276320688497577;2307
40;4.5;0.29419647816400646;1568
41;4.5;0.2932589495529038;1559
42;4.5;0.2388822901089511;1501
43;4.5;0.29344645527512436;1564
44;4.5;0.29269643238624227;1569
45;4.5;0.2940089724417859;1566
46;4.5;0.2932589495529038;1224
47;4.5;0.2928839381084628;1561
48;4.5;0.2930714438306833;1567
49;4.5;0.2928839381084628;1560
50;4.5;0.29232142094180125;1185
51;4.5;0.28219611194189276;1561
52;4.5;0.29194640949736017;1559
53;4.5;0.2936339609973449;1566
54;4.5;0.2928839381084628;1561
55;4.5;0.20775634022034364;1563
56;4.5;0.2921339152195807;1559
57;4.5;0.2932589495529038;1567
58;4.5;0.29344645527512436;1558
59;4.5;0.2930714438306833;1108
