;Time;Thrust;Pressure1;Pressure2;Weight;Current;Voltage;Battery12V;Battery24V
0;0.0;0;-1291;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.186504226813563;3.582484328745384
1;0.1;0;-1291;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.1878167668691058;3.584359385967589
2;0.2;0;-1452;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.1861292153691214;3.5886720175786615
3;0.3;0;-1291;-1452;-445;-0.00018750572222052677;0.0;2.187066743980224;3.583609363078707
4;0.5;0;-1291;-1452;-445;-0.00018750572222052677;0.0;2.1863167210913423;3.587546983245338
5;0.6;0;-1291;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.187066743980224;3.582859340189825
6;0.7;0;-1291;-1452;-445;-0.00037501144444105353;-0.00018750572222052677;2.185941709646901;3.5821093173009433
7;0.8;0;-1291;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.185941709646901;3.58098428296762
8;0.9;0;-1291;-1452;-445;-0.00037501144444105353;-0.00018750572222052677;2.18556669820246;3.584921903134251
9;1.0;0;-1291;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.1868792382580033;3.5826718344676043
10;1.1;0;-1291;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.1880042725913267;3.583609363078707
11;1.3;0;-1291;-1452;-445;-0.00037501144444105353;0.0;2.1853791924802395;3.585296914578692
12;1.4;0;-1291;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.184816675313578;3.583984374523148
13;1.5;0;-1291;-1452;-445;-0.00018750572222052677;-0.00037501144444105353;2.188941801202429;3.58454689168981
14;1.6;0;-1291;-1452;-445;-0.00018750572222052677;-0.00037501144444105353;2.18556669820246;3.5826718344676043
15;1.7;0;-1291;-1452;-445;-0.00037501144444105353;-0.00018750572222052677;2.1872542497024443;3.5867969603564562
16;1.8;0;-1291;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.1883792840357676;3.5890470290231025
17;1.9;0;-1291;-1452;-445;-0.00037501144444105353;-0.00018750572222052677;3.587546983245338;3.582484328745384
18;2.1;0;-1291;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.1857542039246804;3.5837968688009276
19;2.2;0;-1291;-1452;-445;-0.0005625171666615803;-0.00018750572222052677;2.1868792382580033;3.5858594317453534
20;2.3;0;-1291;-1452;-445;-0.00018750572222052677;-0.00018750572222052677;2.1853791924802395;3.5837968688009276
21;2.4;0;-1291;-1452;-445;0.0;-0.00037501144444105353;2.1887542954802086;3.583609363078707
