;Wartoscmierzona;PomiarV;PomiarInt
0;0;-0.06881460005493331;-370
1;0;-0.06900210577715385;-364
2;0;-0.06825208288827174;-366
3;0;-0.06918961149937437;-391
4;0;-0.0686270943327128;-370
5;0;-0.06768956572161015;-367
6;0;-0.06918961149937437;-346
7;0;-0.06843958861049226;-371
8;0;-0.06881460005493331;-361
9;0;-0.0686270943327128;-370
10;0;-0.07068965727713858;-368
11;0;-0.07350224311044648;-367
12;0;-0.06881460005493331;-373
13;0;-0.06975212866603596;-360
14;0;-0.06900210577715385;-366
15;0;-0.0693771172215949;-374
16;0;-0.0686270943327128;-369
17;0;-0.06918961149937437;-367
18;0;-0.0673145542771691;-362
19;0;-0.06918961149937437;-369
20;5,79437;-0.13631666005432294;-767
21;5,79437;-0.14006677449873348;-2035
22;5,79437;-0.14137931455427716;-764
23;5,79437;-0.14006677449873348;-769
24;5,79437;-0.13987926877651297;-724
25;5,79437;-0.13631666005432294;-772
26;5,79437;-0.2692582171086764;-726
27;5,79437;-0.1513171178319651;-727
28;5,79437;-0.1380042115543077;-732
29;5,79437;-0.13987926877651297;-727
30;5,79437;-0.3478231147190771;-1473
31;5,79437;-0.13425409710989716;-736
32;5,79437;-0.13631666005432294;-741
33;5,79437;-0.1361291543321024;-746
34;5,79437;-0.1380042115543077;-767
35;5,79437;-0.5546419263283182;-726
36;5,79437;-0.1361291543321024;-721
37;5,79437;-0.13594164860988192;-727
38;5,79437;-0.1361291543321024;-726
39;5,79437;-0.13631666005432294;-746
40;c;-0.09075276955473495;-484
41;c;-0.09075276955473495;-609
42;c;-0.11456599627674184;-609
43;c;-0.11456599627674184;-609
44;c;-0.09075276955473495;-484
45;c;-0.09075276955473495;-609
46;c;-0.11437849055452132;-610
47;c;-0.11437849055452132;-484
48;c;-0.09075276955473495;-484
49;c;-0.11437849055452132;-610
50;c;-0.1141909848323008;-610
51;c;-0.11456599627674184;-629
52;c;-0.09075276955473495;-484
53;c;-0.08737766655476548;-610
54;c;-0.11456599627674184;-611
55;c;-0.11437849055452132;-610
56;c;-0.11794109927671133;-484
57;c;-0.09094027527695547;-484
58;c;-0.11437849055452132;-609
59;c;-0.11456599627674184;-609
